1. What is your gender?,2. What is your age?,3. What is your current family situation?,4. What year of study are you in?,5. How much stress do you experience in the following areas of life? [Academic performance],5. How much stress do you experience in the following areas of life? [Family relationships],5. How much stress do you experience in the following areas of life? [Financial situation],5. How much stress do you experience in the following areas of life? [Social life],5. How much stress do you experience in the following areas of life? [Problems of loved ones],5. How much stress do you experience in the following areas of life? [Workload and Examinations],6. Are you involved in any extracurricular activities?,7. How often do you have a drink containing alcohol,"8. Over the last two weeks, how often have you experienced the following feelings? [Feeling optimistic about the future]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling useful]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling relaxed]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to deal with problems well]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to think clearly]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling close to others]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling confident]",9. Which of the following best describes your sexual attraction?,10. Please indicate how often you experience the following symptoms: [Mood Swings],10. Please indicate how often you experience the following symptoms: [Depressive Episodes],10. Please indicate how often you experience the following symptoms: [Manic Episodes],11. How would you rank your varsity academic performance?,12. How often do you pay attention to your feelings and emotions?,13. How often do you understand your own emotional states?,14. Have you been diagnosed with depression?,"15. Have you ever made an attempt to take your life, by taking an overdose of tablets or in some other way?",16. Have you ever deliberately harmed yourself in any way but not with the intention of killing yourself?,17. Do you have a family history of mental illness?,18. How many hours do you sleep on average per night?,19. How do you spend your free time after University?,"20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling fearful]","20. Over the past two weeks, how often have you experienced the following symptoms? [Nervousness or shakiness inside]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling hopeless about the future]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling blue]","20. Over the past two weeks, how often have you experienced the following symptoms? [Worrying too much about things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling no interest in things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling everything is an effort]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling worthless]",21. How would you describe your living environment?,22. How often do you go out with friends?
Female,27 to 30,I do not have a father (deceased),Second year,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No,Monthly or less,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with some same-sex attraction,Rarely,Rarely,Rarely,Bottom 50%,Sometimes,Rarely,Yes,No,Yes,Yes,5-6 hours,Moderately Well,A little,A little,A little,A little,A little,Quite a bit,A little,A little,Neutral,Rarely
Male,17 to 21,I do not have a father (deceased),Third year,Mild,Moderate,Moderate,Moderate,Mild,Not at all,Yes,Monthly or less,Some of the time,Not at all,Rarely,Rarely,Some of the time,Rarely,Rarely,Non-heterosexual with same-sex sexual contact,Sometimes,Sometimes,Rarely,Top 50%,Sometimes,Sometimes,No,No,No,No,7-8 hours,Moderately Well,A little,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Stressful,Rarely
Other,30 to 34,Both parents are together,Fourth year,Mild,Not at all,Moderate,Mild,Mild,Moderate,Yes,Monthly or less,Not at all,Rarely,Rarely,Rarely,Rarely,Not at all,Not at all,Non-heterosexual with same-sex sexual contact,Rarely,Sometimes,Rarely,Bottom 50%,Sometimes,Rarely,No,No,No,No,5-6 hours,Very Poorly (Not at all productively),A little,Quite a bit,A little,A little,Quite a bit,A little,A little,Quite a bit,Neutral,Rarely
Other,27 to 30,Separated,Third year,Mild,Mild,Mild,Mild,Not at all,Mild,No,2-3 times a week,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Rarely,Non-heterosexual with same-sex sexual contact,Sometimes,Rarely,Rarely,Top 50%,Rarely,Rarely,Yes,Yes,Yes,No,More than 8 hours,Well,Quite a bit,A little,A little,A little,Quite a bit,Quite a bit,A little,Quite a bit,Relaxing,Sometimes
Female,27 to 30,I do not have a father (deceased),Second year,Not at all,Mild,Mild,Mild,Not at all,Mild,Yes,2-4 times a month,Rarely,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Non-heterosexual with same-sex sexual contact,Sometimes,Never,Never,Bottom 50%,Often,Sometimes,No,No,Yes,Yes,7-8 hours,Well,A little,A little,Quite a bit,A little,A little,Not at all,A little,A little,Very stressful,Never
Female,22 to 26,I do not have a father (deceased),Third year,Not at all,Mild,Mild,Not at all,Not at all,Not at all,Yes,2-4 times a month,Rarely,Some of the time,Rarely,Not at all,Rarely,Not at all,Not at all,Heterosexual with no same-sex attraction,Rarely,Rarely,Sometimes,Bottom 50%,Often,Always,Yes,Yes,No,No,5-6 hours,Moderately Well,Extremely,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Extremely,Neutral,Often
Other,27 to 30,I do not have a father (deceased),Fourth year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,No,2-4 times a month,Rarely,Rarely,Some of the time,All of the time,All of the time,All of the time,All of the time,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Top 50%,Sometimes,Sometimes,No,No,Yes,Yes,7-8 hours,Well,Extremely,Extremely,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,Extremely,Stressful,Rarely
Other,27 to 30,Separated,Second year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,Never,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Non-heterosexual without same-sex sexual contact,Rarely,Rarely,Rarely,Top 50%,Always,Rarely,No,No,No,No,More than 8 hours,Well,A little,A little,A little,Quite a bit,Quite a bit,Quite a bit,A little,A little,Relaxing,Rarely
Male,17 to 21,Both parents are deceased,First year,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Yes,2-4 times a month,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Non-heterosexual with same-sex sexual contact,Always,Always,Always,Bottom 50%,Always,Always,No,No,Yes,Yes,5-6 hours,Moderately Well,Extremely,Quite a bit,Extremely,Quite a bit,Extremely,Quite a bit,Extremely,Quite a bit,Stressful,Sometimes
Male,27 to 30,I do not have a father (deceased),Third year,Moderate,Mild,Mild,Mild,Moderate,Mild,Yes,2-4 times a month,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Sometimes,Bottom 50%,Sometimes,Rarely,No,No,No,Yes,5-6 hours,Very Poorly (Not at all productively),Quite a bit,A little,A little,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Stressful,Sometimes
Female,27 to 30,I do not have a father (deceased),Second year,Mild,Moderate,Mild,Mild,Moderate,Moderate,Yes,2-4 times a month,Some of the time,Rarely,Rarely,Not at all,Not at all,Not at all,Not at all,Heterosexual with no same-sex attraction,Always,Often,Sometimes,Bottom 50%,Sometimes,Sometimes,Yes,Yes,No,No,7-8 hours,Moderately Well,A little,A little,Quite a bit,A little,A little,Extremely,Extremely,Quite a bit,Neutral,Sometimes
Female,22 to 26,I do not have a father (deceased),Third year,Moderate,Mild,Mild,Moderate,Moderate,Moderate,No,2-3 times a week,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Non-heterosexual without same-sex sexual contact,Always,Always,Always,Bottom 50%,Often,Rarely,No,No,Yes,Yes,7-8 hours,Well,Quite a bit,A little,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Neutral,Often
Female,27 to 30,Separated,Third year,Very Severe,Severe,Moderate,Moderate,Severe,Moderate,Yes,2-3 times a week,Rarely,Some of the time,Rarely,Rarely,Some of the time,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Sometimes,Sometimes,Rarely,Bottom 50%,Sometimes,Often,No,No,Yes,Yes,More than 8 hours,Moderately Well,A little,Quite a bit,A little,A little,Extremely,Quite a bit,Quite a bit,Extremely,Neutral,Often
Other,27 to 30,I do not have a father (deceased),Third year,Mild,Mild,Not at all,Mild,Mild,Not at all,Yes,2-4 times a month,Rarely,Rarely,Some of the time,Rarely,Not at all,Some of the time,Rarely,Heterosexual with some same-sex attraction,Rarely,Sometimes,Rarely,Bottom 50%,Sometimes,Sometimes,Yes,Yes,No,No,7-8 hours,Well,Quite a bit,A little,Not at all,A little,A little,Not at all,A little,A little,Neutral,Sometimes
Female,27 to 30,I do not have a father (deceased),Third year,Mild,Not at all,Mild,Mild,Moderate,Mild,No,2-3 times a week,Rarely,Some of the time,Rarely,Rarely,Rarely,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Rarely,Never,Rarely,Bottom 50%,Sometimes,Often,No,No,No,No,7-8 hours,Poorly,A little,A little,A little,Not at all,Quite a bit,A little,A little,A little,Neutral,Sometimes
Female,22 to 26,I do not have a father (deceased),Third year,Mild,Mild,Mild,Not at all,Mild,Mild,No,Never,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Rarely,Non-heterosexual with same-sex sexual contact,Rarely,Rarely,Rarely,Bottom 50%,Sometimes,Sometimes,No,Yes,No,No,7-8 hours,Poorly,Not at all,A little,A little,Not at all,A little,A little,Quite a bit,Quite a bit,Very stressful,Sometimes
Male,27 to 30,I do not have a mother (deceased),Third year,Not at all,Mild,Not at all,Mild,Not at all,Not at all,No,2-4 times a month,Rarely,Rarely,Rarely,Not at all,Rarely,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Rarely,Never,Never,Bottom 50%,Sometimes,Sometimes,No,Yes,Yes,No,More than 8 hours,Well,Not at all,A little,A little,Not at all,Extremely,Extremely,Quite a bit,Extremely,Very relaxing,Often
Female,27 to 30,Separated,Second year,Mild,Moderate,Mild,Mild,Mild,Mild,Yes,2-4 times a month,Not at all,Rarely,Rarely,Rarely,Not at all,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Rarely,Sometimes,Rarely,Bottom 50%,Often,Often,No,No,Yes,No,More than 8 hours,Well,A little,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,Extremely,Quite a bit,Relaxing,Sometimes
Female,22 to 26,I do not have a mother (deceased),Third year,Mild,Moderate,Mild,Moderate,Mild,Moderate,No,Monthly or less,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Always,Always,Often,Bottom 50%,Sometimes,Rarely,Yes,Yes,Yes,No,5-6 hours,Poorly,A little,Quite a bit,A little,A little,Quite a bit,A little,Quite a bit,A little,Relaxing,Sometimes
Female,27 to 30,I do not have a father (deceased),Fourth year,Mild,Mild,Not at all,Moderate,Mild,Mild,No,Never,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Rarely,Sometimes,Rarely,Bottom 50%,Sometimes,Often,No,Yes,No,Yes,5-6 hours,Very Well (Very Productively),A little,Quite a bit,A little,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Relaxing,Sometimes
Male,27 to 30,I do not have a mother (deceased),Third year,Mild,Mild,Moderate,Moderate,Severe,Very Severe,Yes,2-4 times a month,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Heterosexual with some same-sex attraction,Sometimes,Sometimes,Sometimes,Bottom 50%,Always,Always,No,Yes,Yes,No,More than 8 hours,Very Poorly (Not at all productively),Quite a bit,Extremely,A little,Extremely,Extremely,Quite a bit,Quite a bit,Quite a bit,Stressful,Never
Female,27 to 30,I do not have a mother (deceased),Third year,Moderate,Mild,Mild,Moderate,Mild,Moderate,No,2-4 times a month,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Non-heterosexual with same-sex sexual contact,Sometimes,Sometimes,Sometimes,Bottom 50%,Often,Always,No,Yes,No,No,7-8 hours,Moderately Well,Not at all,A little,A little,A little,A little,A little,A little,A little,Relaxing,Often
Female,30 to 34,I do not have a mother (deceased),Fourth year,Moderate,Moderate,Mild,Moderate,Moderate,Moderate,Yes,Monthly or less,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Heterosexual with some same-sex attraction,Rarely,Rarely,Rarely,Top 50%,Rarely,Rarely,No,No,No,Yes,Less than 5 hours,Very Poorly (Not at all productively),Not at all,A little,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Relaxing,Often
Female,27 to 30,I do not have a mother (deceased),Third year,Mild,Mild,Mild,Moderate,Mild,Mild,No,2-4 times a month,Rarely,Some of the time,Rarely,Rarely,Some of the time,Rarely,Rarely,Non-heterosexual with same-sex sexual contact,Never,Rarely,Rarely,Bottom 50%,Often,Often,No,No,No,Yes,5-6 hours,Moderately Well,Not at all,A little,Quite a bit,Extremely,Quite a bit,Quite a bit,A little,A little,Very relaxing,Sometimes
Female,22 to 26,I do not have a father (deceased),Second year,Moderate,Moderate,Moderate,Mild,Severe,Severe,Yes,2-3 times a week,Some of the time,Rarely,Not at all,Rarely,Rarely,Rarely,Not at all,Heterosexual with some same-sex attraction,Never,Never,Never,Top 50%,Often,Often,Yes,No,No,No,7-8 hours,Well,Not at all,A little,A little,Not at all,Not at all,A little,A little,A little,Stressful,Often
Female,27 to 30,I do not have a mother (deceased),Third year,Mild,Mild,Mild,Mild,Mild,Mild,Yes,2-4 times a month,Not at all,Rarely,Some of the time,Rarely,Some of the time,Rarely,Rarely,Heterosexual with some same-sex attraction,Never,Rarely,Rarely,Top 50%,Often,Sometimes,Yes,Yes,Yes,Yes,5-6 hours,Moderately Well,A little,A little,A little,A little,Not at all,A little,A little,A little,Very stressful,Rarely
Male,27 to 30,I do not have a father (deceased),Third year,Mild,Moderate,Mild,Moderate,Mild,Moderate,Yes,Monthly or less,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Top 50%,Sometimes,Always,Yes,Yes,Yes,Yes,7-8 hours,Moderately Well,Quite a bit,Extremely,Extremely,Quite a bit,Quite a bit,Extremely,Quite a bit,Quite a bit,Neutral,Sometimes
Female,22 to 26,I do not have a father (deceased),Second year,Not at all,Moderate,Mild,Mild,Moderate,Mild,Yes,Monthly or less,Some of the time,Rarely,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Non-heterosexual with same-sex sexual contact,Sometimes,Rarely,Never,Top 50%,Rarely,Rarely,No,No,No,Yes,5-6 hours,Moderately Well,A little,A little,Quite a bit,A little,A little,Quite a bit,A little,A little,Neutral,Sometimes
Female,27 to 30,I do not have a father (deceased),Second year,Moderate,Mild,Not at all,Mild,Mild,Moderate,Yes,Monthly or less,Rarely,Some of the time,Rarely,Rarely,Often,Often,Some of the time,Heterosexual with some same-sex attraction,Sometimes,Rarely,Never,Top 50%,Sometimes,Sometimes,No,Yes,Yes,No,7-8 hours,Moderately Well,Extremely,Quite a bit,A little,A little,A little,Quite a bit,A little,A little,Stressful,Sometimes
Female,27 to 30,I do not have a mother (deceased),Third year,Moderate,Mild,Not at all,Moderate,Mild,Not at all,Yes,Monthly or less,Some of the time,Rarely,Not at all,Some of the time,Not at all,Rarely,Some of the time,Heterosexual with some same-sex attraction,Rarely,Rarely,Rarely,Top 50%,Sometimes,Sometimes,Yes,Yes,No,Yes,5-6 hours,Poorly,Not at all,A little,A little,Not at all,A little,Quite a bit,A little,A little,Stressful,Sometimes
Female,27 to 30,I do not have a father (deceased),Third year,Mild,Mild,Mild,Mild,Not at all,Mild,Yes,Monthly or less,Rarely,Rarely,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Non-heterosexual without same-sex sexual contact,Rarely,Rarely,Rarely,Bottom 50%,Often,Often,Yes,Yes,No,No,7-8 hours,Moderately Well,Not at all,A little,A little,A little,A little,A little,A little,A little,Stressful,Rarely
Male,30 to 34,Both parents are together,Third year,Moderate,Mild,Mild,Mild,Moderate,Mild,Yes,Monthly or less,Some of the time,Rarely,Some of the time,Not at all,Rarely,Some of the time,Rarely,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Bottom 50%,Sometimes,Sometimes,No,No,No,Yes,5-6 hours,Poorly,A little,Quite a bit,A little,A little,A little,Not at all,A little,A little,Neutral,Often
Female,27 to 30,I do not have a father (deceased),Third year,Moderate,Mild,Mild,Moderate,Mild,Mild,Yes,Monthly or less,Not at all,Rarely,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Non-heterosexual with same-sex sexual contact,Sometimes,Rarely,Rarely,Bottom 50%,Never,Sometimes,No,Yes,Yes,Yes,7-8 hours,Moderately Well,Quite a bit,A little,A little,A little,A little,A little,A little,A little,Relaxing,Sometimes
Female,27 to 30,I do not have a mother (deceased),Fourth year,Mild,Mild,Not at all,Not at all,Not at all,Mild,Yes,Monthly or less,Not at all,Rarely,Rarely,Not at all,Not at all,Not at all,Rarely,Non-heterosexual without same-sex sexual contact,Rarely,Rarely,Never,Top 50%,Always,Always,Yes,Yes,No,Yes,7-8 hours,Moderately Well,Not at all,A little,A little,Not at all,A little,Not at all,A little,Not at all,Neutral,Sometimes
Male,27 to 30,I do not have a mother (deceased),Third year,Not at all,Mild,Not at all,Not at all,Not at all,Mild,Yes,2-4 times a month,All of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Never,Rarely,Rarely,Top 50%,Often,Often,Yes,Yes,Yes,No,7-8 hours,Well,Not at all,A little,Not at all,A little,Not at all,A little,Not at all,A little,Neutral,Sometimes
Female,30 to 34,I do not have a mother (deceased),Fourth year,Mild,Mild,Moderate,Mild,Moderate,Mild,No,2-4 times a month,Not at all,Rarely,Some of the time,Not at all,Rarely,Not at all,Rarely,Non-heterosexual with same-sex sexual contact,Never,Rarely,Sometimes,Bottom 50%,Sometimes,Often,No,No,No,Yes,5-6 hours,Very Well (Very Productively),Not at all,A little,Not at all,A little,Not at all,Not at all,A little,Not at all,Relaxing,Often
Female,27 to 30,I do not have a mother (deceased),Third year,Mild,Very Severe,Very Severe,Severe,Severe,Severe,Yes,Never,Not at all,Not at all,Not at all,Not at all,Rarely,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Never,Never,Never,Top 50%,Sometimes,Sometimes,Yes,Yes,Yes,No,More than 8 hours,Well,A little,Not at all,A little,Not at all,A little,Not at all,A little,Not at all,Relaxing,Often
Male,27 to 30,Both parents are together,First year,Severe,Severe,Severe,Moderate,Not at all,Not at all,No,Never,Not at all,Often,Some of the time,Some of the time,Often,All of the time,Some of the time,Heterosexual with no same-sex attraction,Never,Rarely,Rarely,Top 50%,Always,Always,Yes,Yes,No,No,7-8 hours,Well,Not at all,A little,Not at all,A little,Not at all,A little,Not at all,Not at all,Very relaxing,Often
Male,30 to 34,I do not have a mother (deceased),Third year,Moderate,Severe,Severe,Very Severe,Severe,Severe,Yes,2-4 times a month,Some of the time,Often,All of the time,Often,All of the time,Often,Often,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Bottom 50%,Never,Rarely,No,Yes,Yes,No,5-6 hours,Well,Quite a bit,A little,A little,A little,Extremely,Quite a bit,A little,Extremely,Stressful,Rarely
Male,22 to 26,Separated,Second year,Very Severe,Severe,Severe,Moderate,Severe,Severe,Yes,Monthly or less,Some of the time,Rarely,Rarely,Some of the time,Rarely,Often,Often,Non-heterosexual without same-sex sexual contact,Always,Often,Often,Top 50%,Rarely,Rarely,Yes,Yes,Yes,Yes,5-6 hours,Moderately Well,Quite a bit,A little,A little,Quite a bit,Extremely,Quite a bit,Extremely,Quite a bit,Neutral,Sometimes
Male,17 to 21,Both parents are together,First year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Yes,Never,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Heterosexual with no same-sex attraction,Never,Never,Never,Top 50%,Always,Always,No,Yes,No,No,More than 8 hours,Very Well (Very Productively),Not at all,Not at all,A little,A little,Quite a bit,Quite a bit,A little,Not at all,Relaxing,Often
Female,22 to 26,I do not have a father (deceased),Second year,Mild,Mild,Mild,Moderate,Moderate,Severe,No,2-4 times a month,Often,Often,Often,Some of the time,Some of the time,Often,Some of the time,Non-heterosexual with same-sex sexual contact,Sometimes,Rarely,Sometimes,Top 50%,Rarely,Rarely,Yes,Yes,Yes,No,More than 8 hours,Very Well (Very Productively),A little,A little,Quite a bit,Quite a bit,A little,A little,Quite a bit,A little,Neutral,Sometimes
Female,17 to 21,I do not have a father (deceased),Third year,Mild,Severe,Moderate,Mild,Mild,Moderate,No,Monthly or less,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Often,Often,Heterosexual with some same-sex attraction,Rarely,Rarely,Rarely,Bottom 50%,Often,Never,Yes,Yes,Yes,No,7-8 hours,Moderately Well,Quite a bit,A little,A little,Quite a bit,A little,A little,Quite a bit,Quite a bit,Neutral,Rarely
Female,27 to 30,I do not have a father (deceased),Third year,Moderate,Mild,Mild,Mild,Moderate,Mild,No,2-4 times a month,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Top 50%,Often,Sometimes,Yes,No,Yes,Yes,5-6 hours,Moderately Well,Quite a bit,A little,A little,A little,A little,Quite a bit,A little,A little,Neutral,Always
Male,22 to 26,Separated,Second year,Very Severe,Severe,Severe,Moderate,Not at all,Not at all,Yes,Monthly or less,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Top 50%,Sometimes,Rarely,Yes,No,No,No,5-6 hours,Very Poorly (Not at all productively),Quite a bit,A little,A little,Quite a bit,A little,Quite a bit,A little,A little,Neutral,Sometimes
Male,27 to 30,I do not have a father (deceased),Fourth year,Moderate,Very Severe,Severe,Severe,Severe,Severe,No,2-4 times a month,All of the time,Often,Some of the time,Often,Some of the time,Often,Some of the time,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Top 50%,Rarely,Sometimes,No,No,No,No,5-6 hours,Poorly,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,Neutral,Rarely
Male,30 to 34,I do not have a mother (deceased),Third year,Not at all,Not at all,Mild,Mild,Moderate,Mild,Yes,2-4 times a month,Rarely,Not at all,Rarely,Rarely,Rarely,Rarely,Rarely,Heterosexual with some same-sex attraction,Sometimes,Rarely,Rarely,Bottom 50%,Often,Rarely,Yes,No,No,No,7-8 hours,Moderately Well,Quite a bit,A little,A little,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Neutral,Often
Female,17 to 21,Both parents are together,First year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Yes,Never,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Heterosexual with no same-sex attraction,Rarely,Rarely,Rarely,Top 50%,Often,Often,No,No,No,No,7-8 hours,Well,A little,A little,Quite a bit,Quite a bit,A little,Quite a bit,Extremely,Extremely,Neutral,Sometimes
Female,27 to 30,Separated,Third year,Moderate,Severe,Severe,Severe,Moderate,Moderate,No,Never,Some of the time,Often,Some of the time,Often,Some of the time,Often,Some of the time,Heterosexual with no same-sex attraction,Often,Often,Rarely,Top 50%,Sometimes,Sometimes,No,No,No,Yes,5-6 hours,Moderately Well,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,Neutral,Sometimes
Male,22 to 26,Both parents are together,Second year,Mild,Moderate,Mild,Moderate,Mild,Moderate,Yes,Never,Rarely,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Rarely,Heterosexual with no same-sex attraction,Rarely,Never,Never,Top 50%,Sometimes,Sometimes,No,No,Yes,No,7-8 hours,Well,A little,A little,A little,A little,A little,A little,A little,A little,Relaxing,Sometimes
Male,17 to 21,Both parents are together,Second year,Mild,Moderate,Mild,Moderate,Mild,Moderate,No,Never,Often,All of the time,Often,All of the time,Often,All of the time,Often,Heterosexual with no same-sex attraction,Sometimes,Rarely,Never,Bottom 50%,Rarely,Sometimes,No,No,No,No,7-8 hours,Moderately Well,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Neutral,Sometimes
Female,22 to 26,Separated,Second year,Moderate,Severe,Moderate,Severe,Moderate,Severe,No,Never,Some of the time,Often,Some of the time,Often,Some of the time,Often,Some of the time,Heterosexual with some same-sex attraction,Rarely,Sometimes,Never,Bottom 50%,Sometimes,Sometimes,No,No,Yes,No,5-6 hours,Poorly,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Neutral,Often
Female,27 to 30,Both parents are together,Fourth year,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No,Never,Often,Often,Often,Often,Often,Often,Often,Heterosexual with no same-sex attraction,Rarely,Never,Never,Top 50%,Often,Often,No,No,No,No,7-8 hours,Very Well (Very Productively),A little,A little,Not at all,Not at all,A little,A little,Not at all,Not at all,Relaxing,Often
Male,27 to 30,Both parents are together,Fourth year,Severe,Moderate,Severe,Moderate,Severe,Moderate,No,2-4 times a month,Rarely,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Rarely,Heterosexual with no same-sex attraction,Sometimes,Rarely,Never,Bottom 50%,Rarely,Rarely,No,No,No,No,More than 8 hours,Moderately Well,Not at all,A little,A little,Not at all,A little,A little,Not at all,A little,Neutral,Always
Female,22 to 26,Both parents are deceased,Second year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No,Never,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Often,Sometimes,Rarely,Top 50%,Often,Always,No,No,No,No,7-8 hours,Very Well (Very Productively),Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Stressful,Rarely
Male,27 to 30,Separated,Third year,Moderate,Mild,Severe,Not at all,Mild,Moderate,Yes,2-3 times a week,Not at all,Rarely,Some of the time,Often,All of the time,Often,Some of the time,Heterosexual with some same-sex attraction,Often,Often,Rarely,Bottom 50%,Rarely,Rarely,No,No,Yes,No,More than 8 hours,Very Poorly (Not at all productively),Quite a bit,A little,Quite a bit,Extremely,Quite a bit,Not at all,Quite a bit,Quite a bit,Relaxing,Often
Female,17 to 21,Both parents are together,First year,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Yes,Never,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Heterosexual with no same-sex attraction,Never,Never,Never,Top 50%,Always,Always,No,No,No,No,7-8 hours,Very Well (Very Productively),Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very relaxing,Often
Female,22 to 26,I do not have a father (deceased),Third year,Mild,Moderate,Severe,Very Severe,Severe,Moderate,No,Never,All of the time,Some of the time,Often,Some of the time,Often,Rarely,Rarely,Heterosexual with some same-sex attraction,Sometimes,Sometimes,Sometimes,Top 50%,Often,Sometimes,Yes,No,No,Yes,5-6 hours,Poorly,A little,Quite a bit,Quite a bit,A little,A little,Quite a bit,Quite a bit,A little,Stressful,Sometimes
Female,22 to 26,Separated,Third year,Mild,Moderate,Mild,Moderate,Mild,Moderate,Yes,Never,Often,Some of the time,Often,All of the time,Some of the time,Rarely,Some of the time,Heterosexual with no same-sex attraction,Rarely,Never,Rarely,Bottom 50%,Never,Never,No,No,No,No,Less than 5 hours,Moderately Well,Quite a bit,Quite a bit,A little,Quite a bit,A little,A little,Quite a bit,Quite a bit,Very stressful,Sometimes
